timestamp,training_end,threshold_selected_pre_event,predicted_probability,predicted_class,actual_future_6h_rain,actual_target,predicted_amount_mm
2021-11-01 00:00:00,2021-10-31 23:00:00,0.95,0.0004522679956,0,5.2,0,7.196464062
2021-11-01 01:00:00,2021-10-31 23:00:00,0.95,0.01258622948,0,5.3,0,8.321894646
2021-11-01 02:00:00,2021-10-31 23:00:00,0.95,0.006402674131,0,4.7,0,9.090858459
2021-11-01 03:00:00,2021-10-31 23:00:00,0.95,0.003868422704,0,5,0,6.295732021
2021-11-01 04:00:00,2021-10-31 23:00:00,0.95,0.0005688016536,0,9.6,0,2.485692024
2021-11-01 05:00:00,2021-10-31 23:00:00,0.95,0.0007656037342,0,11.8,0,2.816895247
2021-11-01 06:00:00,2021-10-31 23:00:00,0.95,9.057728312e-05,0,12.2,0,3.982766867
2021-11-01 07:00:00,2021-10-31 23:00:00,0.95,8.264369535e-05,0,10.4,0,5.894616127
2021-11-01 08:00:00,2021-10-31 23:00:00,0.95,0.0003658051137,0,10,0,5.23995924
2021-11-01 09:00:00,2021-10-31 23:00:00,0.95,0.0005505108857,0,10.6,0,5.537199974
2021-11-01 10:00:00,2021-10-31 23:00:00,0.95,0.005756604485,0,6.4,0,6.922852993
2021-11-01 11:00:00,2021-10-31 23:00:00,0.95,0.003022575751,0,4.2,0,5.330086231
2021-11-01 12:00:00,2021-10-31 23:00:00,0.95,0.01471658517,0,3.1,0,8.216948509
2021-11-01 13:00:00,2021-10-31 23:00:00,0.95,0.02751027979,0,2.9,0,8.407136917
2021-11-01 14:00:00,2021-10-31 23:00:00,0.95,0.001833967515,0,2.8,0,4.616918564
2021-11-01 15:00:00,2021-10-31 23:00:00,0.95,0.005453594495,0,2.4,0,5.619848251
2021-11-01 16:00:00,2021-10-31 23:00:00,0.95,0.004657291342,0,2.6,0,4.63805294
2021-11-01 17:00:00,2021-10-31 23:00:00,0.95,0.002401436213,0,3,0,4.074437618
2021-11-01 18:00:00,2021-10-31 23:00:00,0.95,0.006822248455,0,5.2,0,4.528537273
2021-11-01 19:00:00,2021-10-31 23:00:00,0.95,0.0004225386947,0,5.4,0,4.278829575
2021-11-01 20:00:00,2021-10-31 23:00:00,0.95,0.00207082578,0,5.4,0,4.033132553
2021-11-01 21:00:00,2021-10-31 23:00:00,0.95,0.001044944278,0,5,0,5.531556129
2021-11-01 22:00:00,2021-10-31 23:00:00,0.95,0.0008604877512,0,5,0,4.831421852
2021-11-01 23:00:00,2021-10-31 23:00:00,0.95,0.0009569437243,0,4.6,0,5.328548431
2021-11-02 00:00:00,2021-10-31 23:00:00,0.95,0.00139132014,0,2.6,0,9.37033844
2021-11-02 01:00:00,2021-10-31 23:00:00,0.95,0.0002823146642,0,2.9,0,6.122872829
2021-11-02 02:00:00,2021-10-31 23:00:00,0.95,6.657625636e-05,0,3.2,0,3.170821428
2021-11-02 03:00:00,2021-10-31 23:00:00,0.95,9.703135584e-05,0,2.9,0,4.894445896
