section,check,expected,actual,status,notes
A,dataset file exists,C:\Users\Lenovo\chennai-flood-early-warning\data\processed\inundation_risk_ml_dataset.csv,FOUND,PASS,
A,raw unique timestamp strings in CSV,,2021-11-08 23:00:00 (n=70626) | 2021-11-10 11:00:00 (n=70626) | 2021-11-10 18:00:00 (n=70626) | 2021-11-12 00:00:00 (n=70626) | 2021-11-28 06:00:00 (n=70626),INFO,
A,timestamp strings include full date and time,all timestamps stored as YYYY-MM-DD HH:MM:SS,all full datetimes,PASS,CSV was not modified. Date-only values are parsed as 00:00:00 for audit comparisons.
A,"shape (rows, cols)","(353130, 30)","(353130, 30)",PASS,
A,columns,,"cell_id, centroid_lon, centroid_lat, elevation, slope_degrees, distance_to_drainage, label, label_meaning, temperature_2m, relative_humidity_2m, surface_pressure, wind_speed_10m, precipitation, rain_lag_1h, rain_lag_3h, rain_lag_6h, rain_1h, rain_3h, rain_6h, rain_12h, rain_24h, pressure_change_3h, pressure_change_6h, humidity_change_3h, humidity_change_6h, hour, month, day_of_year, timestamp, episode_id",INFO,
A,dtype:cell_id,,int64,INFO,
A,dtype:centroid_lon,,float64,INFO,
A,dtype:centroid_lat,,float64,INFO,
A,dtype:elevation,,float64,INFO,
A,dtype:slope_degrees,,float64,INFO,
A,dtype:distance_to_drainage,,float64,INFO,
A,dtype:label,,int64,INFO,
A,dtype:label_meaning,,str,INFO,
A,dtype:temperature_2m,,float64,INFO,
A,dtype:relative_humidity_2m,,float64,INFO,
A,dtype:surface_pressure,,float64,INFO,
A,dtype:wind_speed_10m,,float64,INFO,
A,dtype:precipitation,,float64,INFO,
A,dtype:rain_lag_1h,,float64,INFO,
A,dtype:rain_lag_3h,,float64,INFO,
A,dtype:rain_lag_6h,,float64,INFO,
A,dtype:rain_1h,,float64,INFO,
A,dtype:rain_3h,,float64,INFO,
A,dtype:rain_6h,,float64,INFO,
A,dtype:rain_12h,,float64,INFO,
A,dtype:rain_24h,,float64,INFO,
A,dtype:pressure_change_3h,,float64,INFO,
A,dtype:pressure_change_6h,,float64,INFO,
A,dtype:humidity_change_3h,,float64,INFO,
A,dtype:humidity_change_6h,,float64,INFO,
A,dtype:hour,,float64,INFO,
A,dtype:month,,float64,INFO,
A,dtype:day_of_year,,float64,INFO,
A,dtype:timestamp,,datetime64[us],INFO,
A,dtype:episode_id,,str,INFO,
A,timestamp range,,2021-11-08 23:00:00 to 2021-11-28 06:00:00,INFO,
A,unique cells,70626,70626,PASS,
A,unique timestamps,5,5,PASS,
A,unique episodes,2,2,PASS,
B,duplicate cell_id row-count (repeated values),,282504,INFO,Expected: each cell repeats across timestamps (not a uniqueness failure by itself).
B,duplicate timestamp row-count (repeated values),,353125,INFO,Expected: each timestamp repeats across cells (not a uniqueness failure by itself).
B,duplicate cell_id + timestamp,0 duplicates; 70626 cells x 5 timestamps = 353130 unique pairs,0 duplicate rows; 353130 unique pairs,PASS,
B,duplicate cell_id + timestamp + episode_id,0,0,PASS,
B,expected panel size,70626 cells x 5 timestamps = 353130 rows,353130,PASS,
C,episode assignment vs defined Episode_1 / Episode_2,"Episode_1: 2021-11-08 23:00, 2021-11-10 11:00, 2021-11-10 18:00, 2021-11-12 00:00; Episode_2: 2021-11-28 06:00",exact match,PASS,
C,Episode_1 timestamps,,"2021-11-08 23:00:00, 2021-11-10 11:00:00, 2021-11-10 18:00:00, 2021-11-12 00:00:00",INFO,
C,Episode_2 timestamps,,2021-11-28 06:00:00,INFO,
D,label values found,,"[np.int64(0), np.int64(1), np.int64(2)]",INFO,
D,label set,"{0,1,2}","{0, 1, 2}",PASS,
D,label counts 2021-11-08 23:00:00,class0=69715 class1=49 class2=862 total=70626,class0=69715 class1=49 class2=862 total=70626,PASS,
D,label counts 2021-11-10 11:00:00,class0=69670 class1=335 class2=621 total=70626,class0=69670 class1=335 class2=621 total=70626,PASS,
D,label counts 2021-11-10 18:00:00,class0=69708 class1=477 class2=441 total=70626,class0=69708 class1=477 class2=441 total=70626,PASS,
D,label counts 2021-11-12 00:00:00,class0=69727 class1=103 class2=796 total=70626,class0=69727 class1=103 class2=796 total=70626,PASS,
D,label counts 2021-11-28 06:00:00,class0=69724 class1=40 class2=862 total=70626,class0=69724 class1=40 class2=862 total=70626,PASS,
D,overall label counts,class0=348544 class1=1004 class2=3582,class0=348544 class1=1004 class2=3582,PASS,
E,missing/null/inf:cell_id,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:centroid_lon,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:centroid_lat,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:elevation,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:slope_degrees,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:distance_to_drainage,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:label,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:label_meaning,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:temperature_2m,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:relative_humidity_2m,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:surface_pressure,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:wind_speed_10m,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:precipitation,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:rain_lag_1h,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:rain_lag_3h,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:rain_lag_6h,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:rain_1h,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:rain_3h,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:rain_6h,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:rain_12h,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:rain_24h,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:pressure_change_3h,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:pressure_change_6h,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:humidity_change_3h,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:humidity_change_6h,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:hour,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:month,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:day_of_year,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:timestamp,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
E,missing/null/inf:episode_id,"0 NaN, 0 null, 0 inf","NaN=0, null=0, inf=0",PASS,
F,exact rainfall timestamp matches,all 5 inundation timestamps present exactly,"5 exact matches: 2021-11-08 23:00:00, 2021-11-10 11:00:00, 2021-11-10 18:00:00, 2021-11-12 00:00:00, 2021-11-28 06:00:00",PASS,
F,missing rainfall timestamp matches,none,none,PASS,
F,unexpected inundation timestamps,none beyond the five defined events,none,PASS,
G,elevation missing values,0,0,PASS,
G,elevation numeric range,,min=-64 p25=10.1671 median=22.6085 p75=40.3439 max=379.095 mean=27.6923 std=24.2921,INFO,
G,slope_degrees missing values,0,0,PASS,
G,slope_degrees numeric range,,min=0 p25=0.753856 median=1.32764 p75=2.11001 max=27.2271 mean=1.68056 std=1.77077,INFO,
G,distance_to_drainage missing values,0,0,PASS,
G,distance_to_drainage numeric range,,min=0.0359438 p25=527.12 median=1254.3 p75=2502.97 max=13045 mean=1758.22 std=1669.44,INFO,
G,geometry retained in dataset,,NO geometry column in CSV,INFO,Spatial geometry is not retained in inundation_risk_ml_dataset.csv; centroids are present.
H,baseline AI #2 features exist exactly,"rain_1h, rain_3h, rain_6h, rain_12h, rain_24h, elevation, slope_degrees, distance_to_drainage",all present,PASS,
H,forbidden_input:target,must not be used as model input,absent,INFO,"identifier, target-related, centroid, or future-derived"
H,forbidden_input:future_6h_rain,must not be used as model input,absent,INFO,"identifier, target-related, centroid, or future-derived"
H,forbidden_input:cell_id,must not be used as model input,present,INFO,"identifier, target-related, centroid, or future-derived"
H,forbidden_input:timestamp,must not be used as model input,present,INFO,"identifier, target-related, centroid, or future-derived"
H,forbidden_input:episode_id,must not be used as model input,present,INFO,"identifier, target-related, centroid, or future-derived"
H,forbidden_input:centroid_lon,must not be used as model input,present,INFO,"identifier, target-related, centroid, or future-derived"
H,forbidden_input:centroid_lat,must not be used as model input,present,INFO,"identifier, target-related, centroid, or future-derived"
