experiment,timestamp,episode_id,threshold,PR_AUC,CSI,recall,precision,F1,ROC_AUC,Brier,TP,FP,FN,TN,n,n_positive,n_negative
Exp_A_Baseline,2021-11-08 23:00:00,Episode_1,0.19426133,0.003743436443391806,0.003134796238244514,0.02040816326530612,0.0036900369003690036,0.00625,0.7696575122912968,0.0019745751626071132,1,270,48,69445,69764,49,69715
Exp_A_Baseline,2021-11-10 11:00:00,Episode_1,0.19426133,0.010519124386266274,0.011570247933884297,0.020895522388059702,0.02527075812274368,0.02287581699346405,0.4697253577098004,0.005976530904397652,7,270,328,69400,70005,335,69670
Exp_A_Baseline,2021-11-10 18:00:00,Episode_1,0.19426133,0.0050451463444940855,0.0,0.0,0.0,0.0,0.3959330229159576,0.008077417675705538,0,270,477,69438,70185,477,69708
Exp_A_Baseline,2021-11-12 00:00:00,Episode_1,0.19426133,0.04506129974983022,0.021447721179624665,0.07766990291262135,0.02877697841726619,0.04199475065616798,0.5840505433047415,0.0026516366112430217,8,270,95,69457,69830,103,69727
Exp_A_Baseline,2021-11-28 06:00:00,Episode_2,0.91534462,0.00420963617204645,0.0,0.0,0.0,0.0,0.8592391070506569,0.009041667075684195,0,0,40,69724,69764,40,69724
Exp_B_Baseline_plus_AI1,2021-11-08 23:00:00,Episode_1,0.23202877,0.0035651850809211476,0.003389830508474576,0.02040816326530612,0.004048582995951417,0.006756756756756757,0.7629735936546318,0.0019578341688138846,1,246,48,69469,69764,49,69715
Exp_B_Baseline_plus_AI1,2021-11-10 11:00:00,Episode_1,0.23202877,0.010606824929647991,0.008605851979345954,0.014925373134328358,0.0199203187250996,0.017064846416382253,0.4718958887205997,0.005970361066108993,5,246,330,69424,70005,335,69670
Exp_B_Baseline_plus_AI1,2021-11-10 18:00:00,Episode_1,0.23202877,0.005125218114526574,0.0,0.0,0.0,0.0,0.4049711591172955,0.008062983817998734,0,246,477,69462,70185,477,69708
Exp_B_Baseline_plus_AI1,2021-11-12 00:00:00,Episode_1,0.23202877,0.04886901486218797,0.022922636103151862,0.07766990291262135,0.031496062992125984,0.04481792717086835,0.5947924366889398,0.0026359644558143487,8,246,95,69481,69830,103,69727
Exp_B_Baseline_plus_AI1,2021-11-28 06:00:00,Episode_2,0.92957654,0.0034761604439165115,0.0,0.0,0.0,0.0,0.8534374820721704,0.012660689872024318,0,1,40,69723,69764,40,69724
Exp_C_NonAI_Rain24h,2021-11-08 23:00:00,Episode_1,27.2,0.0007023679834871853,0.0,0.0,0.0,0.0,0.5,,0,0,49,69715,69764,49,69715
Exp_C_NonAI_Rain24h,2021-11-10 11:00:00,Episode_1,27.2,0.004785372473394758,0.0,0.0,0.0,0.0,0.5,,0,0,335,69670,70005,335,69670
Exp_C_NonAI_Rain24h,2021-11-10 18:00:00,Episode_1,27.2,0.006796324000854883,0.006796324000854883,1.0,0.006796324000854883,0.013500891568311114,0.5,,477,69708,0,0,70185,477,69708
Exp_C_NonAI_Rain24h,2021-11-12 00:00:00,Episode_1,27.2,0.0014750107403694688,0.0014750107403694688,1.0,0.0014750107403694688,0.0029456765761514594,0.5,,103,69727,0,0,69830,103,69727
Exp_C_NonAI_Rain24h,2021-11-28 06:00:00,Episode_2,20.6,0.0005733616191732126,0.0005733616191732126,1.0,0.0005733616191732126,0.0011460661280155865,0.5,,40,69724,0,0,69764,40,69724
